id_esp;componente_biologico;especie;subsp_var;sinonimo;genero;familia;orden;clase;phylum_division;reino;nombre_comun;nombre_ingles;habito_crecimiento;ds_004_2014_minagri;ds_043_2006_ag;uicn_2020_3;cites_2019;endemismo;migracion;Columna1;Columna2
1;Artropofauna;Acari N.D.;;;Acari N.D.;Acari N.D.;Acari N.D.;Euchelicerata;Arthropoda;Animalia;;;;;;;;;;;
2;Artropofauna;Agaonidae sp.1;;;Agaonidae N.D.;Agaonidae;Hymenoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
3;Artropofauna;Agaonidae sp.2;;;Agaonidae N.D.;Agaonidae;Hymenoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
4;Artropofauna;Agaonidae sp.3;;;Agaonidae N.D.;Agaonidae;Hymenoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
5;Artropofauna;Agapostemon sp.1;;;Agapostemon;Halictidae;Hymenoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
6;Artropofauna;Agelenidae N.D.;;;Agelenidae N.D.;Agelenidae;Araneae;Euchelicerata;Arthropoda;Animalia;;;;;;;;;;;
7;Artropofauna;Agraulis vanillae;;;Agraulis;Nymphalidae;Lepidoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
8;Artropofauna;Agromyzidae N.D.;;;Agromyzidae N.D.;Agromyzidae;Diptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
9;Artropofauna;Agrotis ipsilon;;;Agrotis;Noctuidae;Lepidoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
10;Artropofauna;Aleocharinae sp.1;;;Aleocharinae N.D.;Staphylinidae;Coleoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
11;Artropofauna;Aleyrodidae N.D.;;;Aleyrodidae N.D.;Aleyrodidae;Hemiptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
12;Artropofauna;Aleyrodidae sp.;;;Aleyrodidae N.D.;Aleyrodidae;Hemiptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
13;Artropofauna;Allograpta sp.1;;;Allograpta;Syrphidae;Diptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
14;Artropofauna;Alocandrena sp.1;;;Alocandrena;Andrenidae;Hymenoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
15;Artropofauna;Amaurobiidae N.D.;;;Amaurobiidae N.D.;Amaurobiidae;Araneae;Euchelicerata;Arthropoda;Animalia;;;;;;;;;;;
16;Artropofauna;Ammophila lampei;;;Ammophila;Sphecidae;Hymenoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
17;Artropofauna;Ammophorus peruvianus;;;Ammophorus;Tenebrionidae;Coleoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
18;Artropofauna;Ammophorus sp.;;;Ammophorus;Tenebrionidae;Coleoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
19;Artropofauna;Ammotrechidae sp.2;;;Ammotrechidae N.D.;Ammotrechidae;Solifugae;Euchelicerata;Arthropoda;Animalia;;;;;;;;;;;
20;Artropofauna;Anastrepha sp.2;;;Anastrepha;Tephritidae;Diptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
21;Artropofauna;Anobiidae N.D.;;;Anobiidae N.D.;Anobiidae;Coleoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
22;Artropofauna;Anomala undulata peruviana;;Paranomala undulata peruviana;Anomala;Scarabaeidae;Coleoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
23;Artropofauna;Anthidium sp.1;;;Anthidium;Megachilidae;Hymenoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
24;Artropofauna;Anthocoridae N.D.;;;Anthocoridae N.D.;Anthocoridae;Hemiptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
25;Artropofauna;Anthocoridae sp.1;;;Anthocoridae N.D.;Anthocoridae;Hemiptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
26;Artropofauna;Anthocoridae sp.2;;;Anthocoridae N.D.;Anthocoridae;Hemiptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
27;Artropofauna;Anthomyiidae N.D.;;;Anthomyiidae N.D.;Anthomyiidae;Diptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
28;Artropofauna;Anthonomus sp.1;;;Anthonomus;Curculionidae;Coleoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
29;Artropofauna;Anthonomus sp.2;;;Anthonomus;Curculionidae;Coleoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
30;Artropofauna;Anyphaenidae N.D.;;;Anyphaenidae N.D.;Anyphaenidae;Araneae;Euchelicerata;Arthropoda;Animalia;;;;;;;;;;;
31;Artropofauna;Anystidae N.D.;;;Anystidae N.D.;Anystidae;Trombidiformes;Euchelicerata;Arthropoda;Animalia;;;;;;;;;;;
32;Artropofauna;Apanteles sp.1;;;Apanteles;Braconidae;Hymenoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
33;Artropofauna;Aphididae N.D.;;;Aphididae N.D.;Aphididae;Hemiptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
34;Artropofauna;Aphodiinae N.D;;;Aphodiinae N.D;Scarabaeidae;Coleoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
35;Artropofauna;Apidae N.D.;;;Apidae N.D;Apidae;Hymenoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
36;Artropofauna;Apidae sp.5;;;Apidae;Apidae;Hymenoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
37;Artropofauna;Apis mellifera;;;Apis;Apidae;Hymenoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
38;Artropofauna;Araneidae N.D.;;;Araneidae N.D.;Araneidae;Araneae;Euchelicerata;Arthropoda;Animalia;;;;;;;;;;;
39;Artropofauna;Araneus sp.1;;;Araneus;Araneidae;Araneae;Euchelicerata;Arthropoda;Animalia;;;;;;;;;;;
40;Artropofauna;Argiope argentata;;;Argiope;Araneidae;Araneae;Euchelicerata;Arthropoda;Animalia;;;;;;;;;;;
41;Artropofauna;Astroma aff. granulosum;;;Astroma;Proscopiidae;Orthoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
42;Artropofauna;Autographa sp.1;;;Autographa;Noctuidae;Lepidoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
43;Artropofauna;Bembidiini N.D.;;;Bembidiini N.D.;Carabidae;Coleoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
44;Artropofauna;Bembidion sp.1;;;Bembidion;Carabidae;Coleoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
45;Artropofauna;Bembidion sp.2;;;Bembidion;Carabidae;Coleoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
46;Artropofauna;Blapstinus sp.;;;Blapstinus;Tenebrionidae;Coleoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
47;Artropofauna;Blennidus sp.1;;;Blennidus;Carabidae;Coleoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
